Wall time,Step,Value
1767792188.0043974,0,0.0
1767792202.6669405,50,0.0
1767792217.1483507,100,0.0
1767792231.83826,150,0.0
1767792246.46418,200,0.0
1767792261.089232,250,0.0
1767792275.5638897,300,0.0
1767792289.9697893,350,0.0
1767792304.5976303,400,0.0
1767792319.095562,450,1.1176796294032343e-10
1767792339.384768,500,0.0
1767792354.0904238,550,0.0
1767792368.675821,600,0.0
1767792383.301147,650,0.0
1767792398.0161483,700,0.0
1767792412.682363,750,0.0
1767792427.3681633,800,0.0
1767792442.2105284,850,0.0
1767792456.9962637,900,0.0
1767792471.658925,950,0.0
1767792491.9020452,1000,0.0
1767792506.6254072,1050,0.0
1767792521.0646956,1100,0.0
1767792535.7900858,1150,0.0
1767792550.3971424,1200,0.0
1767792564.992439,1250,0.0
1767792579.6800702,1300,0.0
1767792594.4102638,1350,0.0
1767792609.1826537,1400,0.0
1767792624.0416553,1450,0.0
1767792644.3397481,1500,0.0
1767792659.416817,1550,0.0
1767792674.013708,1600,0.0
1767792688.70861,1650,0.0
1767792703.5055292,1700,0.0
1767792718.2801237,1750,0.0
1767792733.181785,1800,0.0
1767792747.746666,1850,0.0
1767792762.5644732,1900,0.0
1767792777.2220564,1950,0.0
1767792797.5063162,2000,0.0
1767792812.2251372,2050,0.0
1767792827.058569,2100,0.0
1767792841.8131945,2150,0.0
1767792856.6134346,2200,0.0
1767792871.4631917,2250,0.0
1767792886.2461555,2300,0.0
1767792900.8512042,2350,0.0
1767792916.0338368,2400,0.0
1767792930.8688252,2450,0.0
1767792951.2586248,2500,0.0
1767792965.9204934,2550,0.0
1767792980.9216979,2600,0.0
1767792995.897854,2650,0.0
1767793010.8956466,2700,0.0
1767793026.0251374,2750,0.0
1767793041.027523,2800,0.0
1767793055.9870818,2850,0.0
1767793071.039134,2900,0.0
1767793086.1646457,2950,0.0
1767793106.560791,3000,0.0
1767793121.328419,3050,0.0
1767793136.6795511,3100,0.0
1767793151.5755904,3150,0.0
1767793166.6259284,3200,0.0
1767793181.577004,3250,0.0
1767793196.5703478,3300,0.0
1767793211.791545,3350,0.0
1767793226.8421392,3400,0.0
1767793241.9031963,3450,0.0
1767793262.3741808,3500,0.0
1767793277.3493168,3550,0.0
1767793292.3754025,3600,0.0
1767793307.3994207,3650,0.0
1767793322.3082745,3700,0.0
1767793337.0806317,3750,0.0
1767793351.9364004,3800,0.0
1767793366.9507215,3850,0.0
1767793381.9500813,3900,0.0
1767793396.970938,3950,0.0
1767793417.926929,4000,0.0
1767793432.9591506,4050,0.0
1767793447.8419433,4100,0.0
1767793462.808639,4150,0.0
1767793477.8962326,4200,0.0
1767793492.9198637,4250,0.0
1767793507.9275916,4300,0.0
1767793522.9414215,4350,0.0
1767793537.9704425,4400,0.0
1767793552.9986084,4450,0.0
1767793573.6064706,4500,0.0
1767793588.656525,4550,0.0
1767793603.8435705,4600,0.0
1767793619.0164363,4650,0.0
1767793634.5231225,4700,0.0
1767793649.5930529,4750,0.0
1767793664.5071676,4800,0.0
1767793679.4844813,4850,0.0
1767793694.5810175,4900,0.0
1767793709.6046343,4950,0.0
1767793730.0939188,5000,0.0
1767793745.1113102,5050,0.0
1767793760.1853774,5100,0.0
1767793775.2108903,5150,0.0
1767793790.1713612,5200,0.0
1767793805.2104626,5250,7.957459493309997e-16
1767793820.19911,5300,0.0
1767793835.064289,5350,2.0329146487941055e-14
1767793850.098325,5400,0.0
1767793865.021307,5450,0.0
1767793885.8831234,5500,0.0
1767793900.8412316,5550,9.901173102428752e-15
1767793915.832689,5600,0.0
1767793930.8259137,5650,0.0
1767793945.7397008,5700,0.0
1767793960.7204819,5750,0.0
1767793975.7903447,5800,0.0
1767793990.8039877,5850,0.0
1767794005.836075,5900,0.0
1767794021.0172887,5950,6.358738373583974e-18
1767794041.673256,6000,0.0
1767794056.705648,6050,0.0
1767794071.190864,6100,0.0
1767794086.1365588,6150,0.0
1767794101.0979335,6200,0.0
1767794115.9998808,6250,0.0
1767794130.965542,6300,0.0
1767794145.8092937,6350,9.940894077215532e-16
1767794160.7971013,6400,2.917401275393623e-15
1767794176.1768732,6450,0.0
1767794196.7022088,6500,0.0
1767794211.6163065,6550,0.0
1767794226.4367404,6600,3.5757046940878244e-15
1767794241.4255483,6650,6.786607967902746e-15
1767794256.4369109,6700,6.4896742154956465e-15
1767794271.4246664,6750,2.1891958274525497e-15
1767794286.3694932,6800,0.0
1767794301.3399787,6850,0.0
1767794316.3307948,6900,0.0
1767794331.2372031,6950,2.100706422507835e-14
1767794351.274039,7000,8.222631627777428e-15
1767794366.227143,7050,8.637812238412412e-16
1767794381.1741836,7100,5.681583184474889e-15
1767794396.431506,7150,5.819523601078083e-14
1767794411.3177266,7200,1.692365052350514e-14
1767794426.2352893,7250,0.0
1767794441.287705,7300,0.0
1767794455.7273312,7350,0.0
1767794470.7047164,7400,6.502169645533542e-15
1767794485.7237859,7450,1.0429679309868073e-14
1767794506.3295405,7500,0.0
1767794521.210348,7550,5.17643978896476e-13
1767794536.2286127,7600,0.0
1767794551.2428577,7650,0.0
1767794566.027411,7700,0.0
1767794580.8922863,7750,1.2000279987918992e-14
1767794595.8405566,7800,9.019222704231551e-16
1767794610.528935,7850,0.0
1767794625.5435958,7900,2.465906168494514e-13
1767794640.521045,7950,5.025950359019427e-13
1767794661.2489374,8000,0.0
1767794676.1873014,8050,0.0
1767794691.1475441,8100,0.0
1767794706.2405412,8150,7.571908594919408e-13
1767794721.1274433,8200,1.9479106573724e-15
1767794736.019135,8250,1.167925534794256e-14
1767794751.1703913,8300,0.0
1767794766.3991199,8350,0.0
1767794781.4766364,8400,0.0
1767794796.4757745,8450,0.0
1767794816.5530643,8500,0.0
1767794831.5655339,8550,2.037919766479431e-14
1767794846.667283,8600,0.0
1767794861.205019,8650,0.0
1767794876.056331,8700,0.0
1767794890.8978965,8750,0.0
1767794905.5857549,8800,0.0
1767794920.380221,8850,2.23176177415092e-15
1767794935.4900346,8900,0.0
1767794950.7060182,8950,2.501035945186303e-13
1767794971.2502623,9000,3.9846183197043104e-15
1767794985.8194118,9050,0.0
1767795000.6994026,9100,0.0
1767795015.6603796,9150,0.0
1767795030.6017966,9200,2.0153433738197887e-15
1767795045.3766992,9250,0.0
1767795060.2265334,9300,0.0
1767795075.1139133,9350,0.0
1767795089.9377875,9400,0.0
1767795104.9073584,9450,1.4876365537244392e-15
1767795125.3387249,9500,1.7274341221909734e-15
1767795140.3332644,9550,0.0
1767795155.3015988,9600,9.117281590952813e-16
1767795170.0829806,9650,0.0
1767795185.2041204,9700,7.608188845641475e-15
1767795200.1464417,9750,0.0
1767795215.181243,9800,0.0
1767795230.3067353,9850,0.0
1767795245.094548,9900,0.0
1767795259.8764403,9950,0.0
1767795280.1852138,10000,4.295411807529536e-16
1767795294.7975237,10050,0.0
1767795309.7428107,10100,5.148622007249484e-14
1767795324.5180838,10150,0.0
1767795339.3671458,10200,2.41557279414455e-15
1767795354.5173047,10250,0.0
1767795369.4591913,10300,3.3886995128500986e-15
1767795384.326776,10350,0.0
1767795399.148669,10400,9.463596305393654e-16
1767795414.1382637,10450,0.0
1767795434.6832302,10500,1.2471468322850562e-14
1767795449.867499,10550,0.0
1767795464.576246,10600,0.0
1767795479.620455,10650,9.657154091159692e-14
1767795494.5488768,10700,4.23276509193193e-15
1767795509.531361,10750,0.0
1767795524.477811,10800,0.0
1767795539.34325,10850,0.0
1767795554.2488887,10900,0.0
1767795569.1718946,10950,0.0
1767795590.0510106,11000,0.0
1767795604.9502563,11050,0.0
1767795619.888118,11100,2.228570948099054e-16
1767795634.9209132,11150,0.0
1767795649.9463332,11200,1.5489471277873104e-14
1767795664.7099726,11250,7.096012692271389e-16
1767795679.6826577,11300,2.2403519587854996e-15
1767795694.2883866,11350,3.3603366146112883e-15
1767795709.057728,11400,4.533903769999084e-14
1767795723.961506,11450,0.0
1767795744.7888923,11500,0.0
1767795759.5414236,11550,2.3428386509462273e-13
1767795774.4682913,11600,4.943708474276082e-14
1767795789.2991915,11650,3.256176591922601e-14
1767795804.1973534,11700,0.0
1767795819.0008638,11750,0.0
1767795833.855384,11800,0.0
1767795848.357423,11850,0.0
1767795863.1210308,11900,7.775918309856772e-14
1767795878.0176892,11950,0.0
1767795898.7383578,12000,1.835406216658779e-14
1767795913.4559453,12050,0.0
1767795928.450307,12100,0.0
1767795943.2816305,12150,0.0
1767795958.2938304,12200,0.0
1767795973.299597,12250,0.0
1767795988.7160864,12300,0.0
1767796003.7008135,12350,2.639566625169121e-13
1767796018.6240106,12400,1.3922275235518784e-17
