Wall time,Step,Value
1767866729.004175,0,0.0
1767866744.0190759,50,0.0
1767866759.1595848,100,0.0
1767866774.1996276,150,5.413772728724009e-12
1767866789.12359,200,0.0
1767866804.2096007,250,0.0
1767866819.3020768,300,0.0
1767866834.2573342,350,0.0
1767866849.4878092,400,0.0
1767866864.5756555,450,0.0
1767866885.971186,500,0.0
1767866901.2522213,550,6.894580528238672e-14
1767866916.3699753,600,0.0
1767866931.865793,650,0.0
1767866947.0055,700,0.0
1767866962.2171497,750,0.0
1767866977.3136098,800,0.0
1767866992.3884888,850,0.0
1767867007.8177574,900,0.0
1767867023.0155327,950,0.0
1767867044.7271755,1000,0.0
1767867060.0968635,1050,0.0
1767867075.4768481,1100,0.0
1767867090.7920527,1150,0.0
1767867106.0763404,1200,0.0
1767867121.2892547,1250,0.0
1767867136.5307083,1300,0.0
1767867151.8671072,1350,4.311001208789911e-11
1767867167.136382,1400,0.0
1767867182.5112145,1450,0.0
1767867204.610388,1500,0.0
1767867219.908787,1550,0.0
1767867235.0503874,1600,0.0
1767867250.3863788,1650,0.0
1767867265.8777993,1700,0.0
1767867281.2790647,1750,0.0
1767867296.8375187,1800,0.0
1767867312.380037,1850,0.0
1767867327.8580701,1900,4.752276179221144e-19
1767867343.3027222,1950,0.0
1767867365.3225796,2000,0.0
1767867380.7104318,2050,0.0
1767867396.2407606,2100,0.0
1767867411.548714,2150,4.002449210276961e-15
1767867426.972387,2200,0.0
1767867442.6355207,2250,0.0
1767867458.0964746,2300,4.349276472824515e-13
1767867473.523102,2350,6.124598441251128e-14
1767867488.9171813,2400,0.0
1767867504.2702866,2450,1.3001133853696878e-16
1767867525.9626245,2500,0.0
1767867541.3182716,2550,8.755781473121504e-13
1767867556.742818,2600,6.073870506248839e-16
1767867572.2317507,2650,0.0
1767867587.663121,2700,0.0
1767867603.2480428,2750,0.0
1767867618.8026462,2800,1.6921396886469852e-16
1767867634.2894816,2850,0.0
1767867649.739723,2900,1.1333904345237457e-15
1767867665.1857824,2950,2.3011945471450128e-15
1767867687.3974073,3000,0.0
1767867702.730498,3050,0.0
1767867718.3156106,3100,3.284827379719524e-13
1767867733.8080952,3150,2.1584881302575028e-15
1767867749.1047988,3200,1.089238156051428e-13
1767867764.6659374,3250,0.0
1767867780.1583333,3300,0.0
1767867795.5104704,3350,0.0
1767867811.103412,3400,1.2488748642007497e-13
1767867826.6003313,3450,0.0
1767867848.314467,3500,0.0
1767867864.0655873,3550,7.835601742098297e-13
1767867879.6635199,3600,0.0
1767867895.2690918,3650,5.3247889360589704e-14
1767867910.7381592,3700,1.7379183487285788e-13
1767867926.443895,3750,4.5749719930401195e-14
1767867941.6827404,3800,1.6750564422931408e-14
1767867957.127899,3850,3.068103496955965e-13
1767867972.7596235,3900,0.0
1767867988.6690617,3950,1.0099350648240762e-15
1767868010.6416416,4000,0.0
1767868026.2605844,4050,0.0
1767868041.8017402,4100,1.8751130459953398e-15
1767868057.332643,4150,3.4893626616600004e-13
1767868072.8629854,4200,4.75474694339173e-14
1767868088.5819674,4250,1.023535639924078e-12
1767868104.2339635,4300,1.5460277101499859e-13
1767868119.7841508,4350,6.261119552507244e-13
1767868135.3206193,4400,5.979411573080878e-14
1767868150.9127553,4450,6.121933336785887e-14
1767868172.7584662,4500,1.2807593866210644e-14
1767868188.44428,4550,5.748693350775963e-14
1767868204.374904,4600,7.79474022897771e-15
1767868220.4024267,4650,1.002338836930683e-12
1767868236.138288,4700,6.163055346419073e-15
1767868251.8581955,4750,2.0721551441415555e-14
1767868267.5450041,4800,6.543322072913957e-18
1767868282.955143,4850,8.374239513907634e-15
1767868298.6046152,4900,1.7573989450214987e-16
1767868314.3072517,4950,5.89174677588614e-17
1767868336.284888,5000,1.1330538448063305e-15
1767868351.966651,5050,4.421322249287263e-13
1767868367.5598605,5100,5.805631980163449e-17
1767868383.4241405,5150,2.5206128417137874e-13
1767868399.116416,5200,8.503278376564838e-14
1767868414.7858665,5250,3.645319994211721e-13
