CViT,DeepONet,FNO
0.008480656,0.39228332,0.11724767
0.008779212,0.30102116,0.07066789
0.0080557875,0.3578719,0.101884425
0.0073799603,0.3340767,0.11176418
0.008461322,0.32277477,0.10239905
0.0087312395,0.35807997,0.09321514
0.0074423337,0.3243525,0.0943644
0.0077017136,0.34113425,0.08307935
0.007837532,0.32895637,0.101114795
0.008422247,0.35597366,0.118786395
0.008100633,0.35721543,0.1251922
0.0076198285,0.3106626,0.09223455
0.007647154,0.34950984,0.088542074
0.0075505944,0.32044604,0.06610141
0.00786212,0.37776488,0.12765631
0.00800432,0.35421634,0.12599683
0.007497295,0.29871202,0.07071067
0.009759506,0.3700331,0.1138034
0.006515103,0.31241232,0.06865778
0.00942944,0.39243877,0.12293652
0.0069059655,0.35701522,0.07741317
0.007432402,0.3912337,0.14268613
0.007882284,0.3550771,0.0995964
0.007621263,0.35211647,0.11301629
0.0068350704,0.37855047,0.1360485
0.008296198,0.37152833,0.09505296
0.008452886,0.36290845,0.12208131
0.006780187,0.35507268,0.10520697
0.0071930178,0.34096777,0.08515741
0.007013416,0.33040503,0.084030315
0.008372001,0.33930272,0.13291544
0.008256656,0.31912136,0.07031244
0.007160745,0.36845687,0.10248105
0.00720727,0.3727237,0.11201788
0.0072499514,0.3395965,0.08918984
0.006065551,0.32743663,0.07708048
0.008545341,0.32525715,0.08822034
0.008833179,0.38151583,0.12848797
0.007215384,0.33007637,0.08279013
0.0068652704,0.35351616,0.09805501
0.006547083,0.3423676,0.07889831
0.009291396,0.31740254,0.08559197
0.007860061,0.34698778,0.102984905
0.007206804,0.3647248,0.10923377
0.0066885026,0.32840022,0.0825479
0.006934073,0.3911618,0.11090204
0.008127075,0.35435498,0.10332906
0.007398566,0.34306103,0.08310529
0.00771969,0.34943685,0.09969882
0.00701125,0.3224634,0.06797143
0.006753796,0.32527822,0.07129036
0.006734615,0.32083634,0.07179596
0.007386241,0.3283223,0.081014715
0.0068060122,0.34302914,0.10004909
0.007218533,0.3848542,0.08839123
0.009891516,0.36593246,0.11501445
0.008181458,0.33559942,0.08134599
0.008388167,0.34179273,0.083841756
0.007814486,0.284068,0.087138355
0.0069129183,0.3544497,0.100300655
0.0064993,0.32885396,0.080505416
0.006354288,0.353916,0.10258219
0.007911287,0.34125745,0.09328686
0.010200852,0.4027718,0.12955017
0.007990744,0.29337555,0.06456612
0.00757208,0.33260208,0.09268075
0.006724454,0.31494337,0.08099467
0.0067050164,0.31708547,0.08800118
0.006822791,0.34797007,0.07993874
0.0072612306,0.3801056,0.110607326
0.0063553024,0.34373719,0.09242633
0.0068993745,0.34421223,0.10472907
0.0062072794,0.29894197,0.077328235
0.007942859,0.40067858,0.120478876
0.006876584,0.3091401,0.09872791
0.0119261015,0.35666525,0.13060206
0.01347048,0.3462283,0.09141539
0.006902987,0.34831896,0.092826575
0.007823005,0.3067151,0.078363195
0.0072124414,0.3601575,0.08734512
0.0070855385,0.33136365,0.08502913
0.007122047,0.32334918,0.07456531
0.008462459,0.3423535,0.09684254
0.006889953,0.30504102,0.08210847
0.0077115255,0.3554815,0.10743537
0.007676822,0.38159534,0.11679285
0.0072461003,0.32880294,0.10815034
0.008672068,0.3449149,0.07822077
0.006393917,0.3465422,0.07964884
0.006806346,0.33491594,0.07815624
0.007960568,0.34432423,0.0922428
0.0066316165,0.34906793,0.114158496
0.008618635,0.39292955,0.13169765
0.007012501,0.33483005,0.09192462
0.009912396,0.3673147,0.110498816
0.0067251464,0.3732869,0.099783465
0.0070914794,0.29473048,0.07862437
0.005789015,0.32158485,0.07637004
0.009176977,0.3513456,0.10804857
0.008031523,0.35455889,0.12490877
