CViT,DeepONet,FNO
0.014083978,0.40842047,0.5392728
0.031716198,0.25246322,0.5098007
0.013538345,0.42202377,0.53505176
0.013376828,0.5267876,0.5363013
0.014078542,0.3936634,0.53488034
0.017259289,0.4472205,0.53381544
0.015706183,0.34522608,0.5276959
0.013427891,0.6033889,0.5203234
0.028714469,0.2608258,0.5122117
0.02220456,0.3176923,0.524805
0.04332756,0.17487678,0.49352247
0.014721648,0.34039372,0.5322429
0.019066686,0.38995862,0.53275275
0.0135002285,0.4449998,0.537222
0.016489975,0.38689178,0.53829974
0.017923262,0.30518797,0.5232329
0.016702302,0.31928667,0.5295025
0.014151722,0.41117424,0.53635
0.019423613,0.3342611,0.53235
0.013409244,0.5125298,0.535061
0.0370286,0.20850989,0.50279236
0.01728149,0.29520726,0.5220631
0.014270729,0.49739763,0.529087
0.012802907,0.54515797,0.52882653
0.011824342,0.48193103,0.5310044
0.01802569,0.32094395,0.52749705
0.014778725,0.43773153,0.5319396
0.013522942,0.43641475,0.5373553
0.016101353,0.43497193,0.5406224
0.01529756,0.37792653,0.5307488
0.018048616,0.45240444,0.52948743
0.022697825,0.43484682,0.53068227
0.016538111,0.290793,0.52250487
0.020478245,0.34192535,0.53114074
0.016440457,0.30001304,0.52642584
0.01367051,0.4497448,0.5372416
0.012400654,0.47647083,0.5319152
0.0145111,0.45809782,0.54083234
0.01339373,0.45522434,0.535303
0.031074539,0.23238105,0.5105489
0.039132614,0.19823043,0.5001274
0.016413746,0.4774576,0.52814066
0.018214235,0.31091404,0.5275605
0.020239998,0.36689103,0.52795196
0.011032493,0.5136442,0.5261642
0.012624274,0.46367377,0.53393525
0.021773644,0.40382123,0.5274645
0.017880438,0.33832213,0.5326961
0.021651765,0.2560538,0.515744
0.016053401,0.29371357,0.52540725
0.015914548,0.29620096,0.5264375
0.020684516,0.32787,0.5330432
0.01706164,0.4608392,0.53211606
0.016685769,0.3105304,0.5266489
0.017932998,0.39043164,0.5320825
0.015157512,0.46201596,0.5270116
0.035726458,0.20303243,0.5024597
0.016038818,0.32103515,0.52675146
0.018533863,0.39576486,0.5345615
0.023510162,0.24407984,0.5130956
0.018844295,0.37993693,0.534186
0.030044148,0.25046152,0.5135143
0.015081033,0.3566344,0.53346324
0.015075111,0.35352746,0.52943015
