Wall time,Step,Value
1777306095.5301354,0,0.902207612991333
1777306106.8207638,50,0.43405085802078247
1777306118.1647387,100,0.08847250044345856
1777306129.126533,150,0.042726434767246246
1777306140.274855,200,0.01811670884490013
1777306151.197549,250,0.002637311350554228
1777306162.2609797,300,0.0008138284902088344
1777306173.1518607,350,0.0005552275106310844
1777306184.0345623,400,0.0005630226223729551
1777306194.884474,450,0.0004898626357316971
1777306209.8289742,500,0.00020871909509878606
1777306220.7610767,550,0.00022679779794998467
1777306231.6957974,600,0.0001864321529865265
1777306242.7419643,650,0.00018126223585568368
1777306253.5736513,700,4.5011584006715566e-05
1777306264.4115226,750,0.00010779629519674927
1777306275.4245508,800,4.140818055020645e-05
1777306286.1858308,850,8.781156793702394e-05
1777306297.0717502,900,8.917543163988739e-05
1777306308.2045004,950,3.622939402703196e-05
1777306322.874607,1000,7.122609531506896e-05
1777306333.763434,1050,2.6256762794218957e-05
1777306344.6086287,1100,2.8029277018504217e-05
1777306355.7166443,1150,2.478189708199352e-05
1777306366.660014,1200,3.9998572901822627e-05
1777306377.5272713,1250,4.52119747933466e-05
1777306388.6468244,1300,3.3772939787013456e-05
1777306399.7375808,1350,9.144499927060679e-05
1777306410.897313,1400,2.8808088245568797e-05
1777306421.8807561,1450,1.9473171050776727e-05
1777306436.5974479,1500,1.5038770470710006e-05
1777306447.7716606,1550,1.8275866750627756e-05
1777306458.7672617,1600,0.00011946326412726194
1777306469.6981964,1650,5.5203738156706095e-05
1777306480.6734633,1700,1.2198264812468551e-05
1777306491.893655,1750,1.2243803212186322e-05
1777306502.780896,1800,3.342684431117959e-05
1777306513.801398,1850,1.6660003893775865e-05
1777306525.0446017,1900,8.710917427379172e-06
1777306536.007912,1950,6.475103418779327e-06
1777306550.8690882,2000,2.7622063498711213e-05
1777306561.840023,2050,4.377858931547962e-05
1777306572.902376,2100,2.3217900888994336e-05
1777306583.9497483,2150,1.4490958164969925e-05
1777306595.0799248,2200,5.0003613978333306e-06
1777306606.0930934,2250,3.925172677554656e-06
1777306617.0540807,2300,1.1163874660269357e-05
1777306628.235276,2350,2.3137592506827787e-05
1777306639.235699,2400,1.1638980140560307e-05
1777306650.2297325,2450,1.8577226001070812e-05
1777306665.126127,2500,5.813134339405224e-05
1777306676.4404776,2550,2.687967753445264e-05
1777306687.3841538,2600,1.842385609052144e-05
1777306698.4185612,2650,1.3884385225537699e-05
1777306709.4167426,2700,6.369007678586058e-06
1777306720.5444264,2750,5.011605026083998e-06
1777306731.560167,2800,4.027754584967624e-06
1777306742.543864,2850,9.712975042930339e-06
1777306753.518869,2900,1.579377567395568e-05
1777306764.8711972,2950,9.608177606423851e-06
1777306779.4526172,3000,8.3287541201571e-06
1777306790.68033,3050,9.329975000582635e-06
1777306801.689166,3100,3.31075625581434e-06
1777306812.9286776,3150,2.3725653591100127e-05
1777306823.8926797,3200,5.0741596169245895e-06
1777306835.091056,3250,4.970524059899617e-06
1777306846.0841036,3300,5.9376102399255615e-06
1777306857.184044,3350,2.5379979433637345e-06
1777306868.1809561,3400,4.7711573643027805e-06
1777306879.4043489,3450,5.12850601808168e-06
1777306893.9988198,3500,4.200225703243632e-06
1777306905.1436071,3550,6.214108907443006e-06
1777306916.1910455,3600,5.728466931032017e-06
1777306927.2278948,3650,4.841721420234535e-06
1777306938.3849528,3700,1.8206861795988516e-06
1777306949.5099468,3750,1.0082588232762646e-05
1777306960.7974017,3800,5.559712008107454e-06
1777306971.8771644,3850,2.3619190869794693e-06
1777306982.8706496,3900,2.512538003429654e-06
1777306994.205806,3950,2.129868789779721e-06
1777307008.98038,4000,1.543239523016382e-05
1777307020.2708907,4050,9.041315024660435e-06
1777307031.2212117,4100,2.5636170448706253e-06
1777307042.4953873,4150,1.6015267192415195e-06
1777307053.546396,4200,1.186653889817535e-06
1777307064.5364451,4250,1.3865286518921494e-06
1777307075.4576333,4300,9.51943457039306e-06
1777307086.6323256,4350,3.2619957437418634e-06
1777307097.6824908,4400,2.7070502710557776e-06
1777307108.641606,4450,5.019634500058601e-06
1777307123.5318887,4500,2.8733302315231413e-06
1777307134.6174142,4550,1.3198591659602243e-06
1777307145.8183396,4600,1.6544689742659102e-06
1777307156.7782886,4650,2.2822723622084595e-06
1777307167.7027183,4700,1.0894920023929444e-06
1777307178.69359,4750,1.557439645694103e-06
1777307189.6476257,4800,3.7921740840829443e-06
1777307200.821297,4850,4.191146217635833e-06
1777307211.8355267,4900,3.337182533869054e-06
1777307222.845942,4950,2.5669803562777815e-06
1777307237.7488985,5000,6.735835086146835e-06
1777307248.8198247,5050,1.8567883444120525e-06
1777307259.9418242,5100,1.7461698007537052e-06
1777307271.0054083,5150,1.3928173530075583e-06
1777307282.0291123,5200,1.8606365301820915e-06
1777307293.0337377,5250,1.7453721739002503e-06
1777307304.289643,5300,1.2957854096384835e-06
1777307315.332339,5350,1.441614131181268e-06
1777307326.5742593,5400,1.1398001333873253e-06
1777307337.885783,5450,2.893055125241517e-06
1777307352.6531272,5500,1.520695946055639e-06
1777307363.6367033,5550,1.1783885156546603e-06
1777307374.7942126,5600,1.0822564036061522e-06
1777307385.865227,5650,1.6229134871537099e-06
1777307396.8727472,5700,1.193165076074365e-06
1777307408.103926,5750,2.902906089730095e-06
1777307419.2090464,5800,1.400454607392021e-06
1777307430.2247565,5850,1.0710573405958712e-06
1777307441.4618611,5900,6.993603847149643e-07
1777307452.406233,5950,8.667036581755383e-07
1777307467.1359704,6000,1.4380275388248265e-06
1777307478.0888424,6050,1.6964640963124111e-06
1777307489.2599144,6100,1.2253344721102621e-06
1777307500.2850373,6150,7.594139788125176e-07
1777307511.3548687,6200,6.521954674099106e-07
1777307522.2741292,6250,7.01086719345767e-07
1777307533.5396101,6300,1.1118982001789846e-06
1777307544.5352857,6350,1.2901163017886574e-06
1777307555.643134,6400,6.167441597426659e-07
1777307566.7441494,6450,6.365319222823018e-07
1777307581.5121434,6500,1.0221534694210277e-06
1777307592.5657666,6550,9.130141052082763e-07
1777307603.8763695,6600,9.159588216789416e-07
1777307614.9266014,6650,8.461573770546238e-07
1777307626.172582,6700,1.0372187944085454e-06
1777307637.2448056,6750,9.669062137618312e-07
1777307648.3374395,6800,8.062071401582216e-07
1777307659.6378675,6850,1.1457061646069633e-06
1777307670.6086097,6900,6.116193276284321e-07
1777307681.4340408,6950,7.400074650831812e-07
1777307696.3728476,7000,6.757762776032905e-07
1777307707.4175577,7050,6.359379085552064e-07
1777307718.3984387,7100,6.124492983872187e-07
1777307729.7100637,7150,8.069489467743551e-07
1777307740.8395958,7200,5.901844701838854e-07
1777307751.935712,7250,5.792945785287884e-07
1777307763.006878,7300,8.201151331377332e-07
1777307774.3440106,7350,1.017607246467378e-06
1777307785.4282694,7400,4.396916892801528e-07
1777307796.4961302,7450,8.914376508073474e-07
1777307811.360957,7500,4.1218567048417754e-07
1777307822.3808177,7550,6.170320148157771e-07
1777307833.5188677,7600,5.075897320239164e-07
1777307844.47227,7650,8.392404993173841e-07
1777307855.506116,7700,5.199735824135132e-07
1777307866.6488705,7750,5.260363877823693e-07
1777307877.7411654,7800,8.674399509800423e-07
1777307888.7597783,7850,6.127421556811896e-07
1777307899.7271318,7900,6.534978069794306e-07
1777307910.8687587,7950,5.843984354214626e-07
1777307925.5198216,8000,4.5259645276019e-07
1777307936.558811,8050,3.89232809538953e-07
1777307947.7743587,8100,6.109714263402566e-07
1777307958.7771595,8150,5.933462716711801e-07
1777307969.8871112,8200,5.873459372196521e-07
1777307981.1889067,8250,5.319030265127367e-07
1777307992.1951842,8300,4.864941161031311e-07
1777308003.483021,8350,6.942575510038296e-07
1777308014.5712714,8400,6.233365184016293e-07
1777308025.5981019,8450,7.021462806733325e-07
1777308040.4236448,8500,4.700183353634202e-07
1777308051.4129398,8550,4.045858759127441e-07
1777308062.4999855,8600,4.7375721123898984e-07
1777308073.5449846,8650,3.304467668385769e-07
1777308084.602202,8700,4.0726843053562334e-07
1777308095.8167565,8750,4.361985475043184e-07
1777308106.881253,8800,6.570735422428697e-07
1777308117.9005861,8850,6.54019572721154e-07
1777308128.8968904,8900,4.126474095755839e-07
1777308140.2755349,8950,4.222045788537798e-07
1777308155.1550303,9000,4.069846113452513e-07
1777308166.4376218,9050,3.9599353840458207e-07
1777308177.3607886,9100,4.5288928163245146e-07
1777308188.4667466,9150,3.2499889357495704e-07
1777308199.4580255,9200,4.6927502239668684e-07
1777308210.7135005,9250,3.111293835900142e-07
1777308221.6740348,9300,4.011683358839946e-07
1777308232.614451,9350,5.607425919151865e-07
1777308243.707384,9400,2.875926838896703e-07
1777308254.7707713,9450,3.1350523954642995e-07
1777308269.511998,9500,3.954497742597596e-07
1777308280.4598231,9550,3.3967387480515754e-07
1777308291.6658142,9600,3.2254132520392886e-07
1777308302.7242546,9650,3.030946800208767e-07
1777308313.7963305,9700,5.212841074353491e-07
1777308324.722689,9750,3.667756232061947e-07
1777308335.8599923,9800,3.562155370673281e-07
1777308347.116962,9850,3.639166834545904e-07
1777308358.1332004,9900,3.9920513472679886e-07
1777308369.0453339,9950,3.554185354914807e-07
1777308383.8224452,10000,4.2782031073329563e-07
1777308394.7810378,10050,4.4583703129319474e-07
1777308405.6947198,10100,5.393641231421498e-07
1777308416.8976552,10150,3.878350014474563e-07
1777308428.1534598,10200,3.0505725590046495e-07
1777308439.2447526,10250,4.614898898580577e-07
1777308450.4738133,10300,3.5977217294203e-07
1777308461.613066,10350,4.603541015057999e-07
1777308472.5841103,10400,3.6051153529115254e-07
1777308483.7569125,10450,2.8985076028220647e-07
1777308498.4576724,10500,3.076121117828734e-07
1777308509.6280384,10550,3.9464094925278914e-07
1777308520.6704988,10600,3.718059531365725e-07
1777308531.7088785,10650,4.1027550423677894e-07
1777308542.9757535,10700,3.531038714754686e-07
1777308554.1499515,10750,4.539342626230791e-07
1777308565.2109597,10800,3.880253416355117e-07
1777308576.188955,10850,3.3485235917396494e-07
1777308587.374686,10900,2.7186368356524326e-07
1777308598.3091679,10950,2.7862722618010594e-07
1777308613.1832304,11000,3.616263484218507e-07
1777308624.5685225,11050,2.4853653712852974e-07
1777308635.5430043,11100,3.402378752070945e-07
1777308646.5552547,11150,5.006344281355268e-07
1777308657.6000855,11200,3.5760479022428626e-07
1777308668.6018243,11250,4.0827063685355824e-07
1777308679.8433757,11300,4.1351310642312455e-07
1777308690.8743372,11350,3.633073220044025e-07
1777308701.8433695,11400,3.54711914951622e-07
1777308713.2190874,11450,4.4317377501101873e-07
1777308727.8210254,11500,2.806578436320706e-07
1777308739.3726318,11550,3.4029926609946415e-07
1777308750.4046407,11600,3.764262999084167e-07
1777308761.353822,11650,3.086157107645704e-07
1777308772.9203856,11700,4.953364509674429e-07
1777308784.3230193,11750,5.17586272508197e-07
1777308795.3483868,11800,3.9584236333212175e-07
1777308806.603718,11850,3.424662793349853e-07
1777308817.6282861,11900,2.9534888312809926e-07
1777308828.6039066,11950,3.90027935281978e-07
1777308843.5450144,12000,2.737308761879831e-07
1777308854.551287,12050,3.0019012342563656e-07
1777308865.5106344,12100,3.1649662446397997e-07
1777308876.7210975,12150,4.630112755421578e-07
1777308887.6624787,12200,4.5748970478598494e-07
1777308898.7931373,12250,2.243557162273646e-07
1777308909.8603513,12300,2.9411989999061916e-07
1777308920.8779502,12350,3.037383748960565e-07
1777308932.1024997,12400,3.4202798815385904e-07
1777308943.1343288,12450,3.7947512510072556e-07
1777308958.1154287,12500,3.5086054595012683e-07
1777308969.3064713,12550,5.602306032415072e-07
1777308980.27078,12600,3.3090657325374195e-07
1777308991.6592016,12650,3.4919168001579237e-07
1777309002.7898414,12700,3.522340250583511e-07
1777309013.6933644,12750,3.589761945477221e-07
1777309024.6901796,12800,4.0753317875896755e-07
1777309035.6908638,12850,4.64596325855382e-07
1777309046.9250364,12900,3.829190688975359e-07
1777309057.9208384,12950,4.984608494851273e-07
1777309072.8060386,13000,3.873638547702285e-07
1777309083.9225135,13050,3.336182032853685e-07
1777309095.055994,13100,3.060779363295296e-07
1777309106.0034425,13150,2.644330550083396e-07
1777309117.252937,13200,3.744435730368423e-07
1777309128.280451,13250,4.1910470827133395e-07
1777309139.2538126,13300,3.064592419832479e-07
1777309150.5366325,13350,3.485351953713689e-07
1777309161.69083,13400,4.6408464982050646e-07
1777309172.9042814,13450,5.521911816686043e-07
1777309187.6428115,13500,2.9771851473014976e-07
1777309198.6210105,13550,3.9871557078186015e-07
1777309209.6649983,13600,3.6550480331243307e-07
1777309220.927099,13650,4.515465548138309e-07
1777309231.8420577,13700,2.691708118618408e-07
1777309242.76547,13750,4.1942965367525176e-07
1777309253.9954188,13800,2.779728447421803e-07
1777309264.960778,13850,3.0296291697595734e-07
1777309276.0327241,13900,3.6680341963801766e-07
1777309287.3151693,13950,3.4697234241320984e-07
1777309301.8877263,14000,5.426589950729976e-07
1777309313.1395478,14050,4.36665914094192e-07
1777309324.1387105,14100,3.1105878406378906e-07
1777309335.1707966,14150,4.833229354517243e-07
1777309346.174757,14200,3.7918499629086e-07
1777309357.2146852,14250,2.936655505436647e-07
1777309368.6839678,14300,2.673148742360354e-07
1777309379.7771883,14350,2.7474891339807073e-07
1777309390.7531364,14400,4.83348799207306e-07
1777309402.033444,14450,2.63008246292884e-07
1777309416.604485,14500,2.554143918587215e-07
1777309427.6118,14550,3.099318348631641e-07
1777309438.76833,14600,2.502524409919715e-07
1777309449.781487,14650,2.6159011667914456e-07
1777309460.8613331,14700,5.131423677084967e-07
1777309471.966794,14750,3.8116419887046504e-07
1777309483.1194556,14800,4.1100025782725425e-07
1777309494.1311731,14850,5.695137019756658e-07
1777309505.1725879,14900,3.095313729772897e-07
1777309516.429909,14950,3.268191051120084e-07
