Wall time,Step,Value
1777306095.5301113,0,1.8359956741333008
1777306106.8207421,50,0.06928309053182602
1777306118.1647224,100,0.0035039351787418127
1777306129.1265137,150,0.0018205775413662195
1777306140.2748342,200,0.00027854484505951405
1777306151.197527,250,0.00028771033976227045
1777306162.26096,300,0.00012298900401219726
1777306173.1518393,350,0.00011945582809858024
1777306184.0345418,400,0.00019032208365388215
1777306194.8844535,450,7.069467392284423e-05
1777306209.8289351,500,0.00010249680781271309
1777306220.7610526,550,0.00011004332191077992
1777306231.6957772,600,4.458122930373065e-05
1777306242.741945,650,0.00013521962682716548
1777306253.5736315,700,4.210471161059104e-05
1777306264.4115014,750,4.389222522149794e-05
1777306275.4245303,800,2.0043156837346032e-05
1777306286.185811,850,5.8166457165498286e-05
1777306297.071728,900,4.978980723535642e-05
1777306308.204481,950,1.3734441381529905e-05
1777306322.874576,1000,7.543397805420682e-05
1777306333.7634158,1050,1.9521286958479322e-05
1777306344.6086118,1100,1.3816605132888071e-05
1777306355.7166264,1150,1.655836240388453e-05
1777306366.6599948,1200,2.2968952180235647e-05
1777306377.5272524,1250,2.8590271540451795e-05
1777306388.6468065,1300,9.828616384766065e-06
1777306399.737562,1350,4.993540278519504e-05
1777306410.897289,1400,1.6164054613909684e-05
1777306421.8807385,1450,1.6826734281494282e-05
1777306436.597412,1500,3.142026980640367e-05
1777306447.7716439,1550,1.7245747585548088e-05
1777306458.7672386,1600,0.00023853714810684323
1777306469.6981807,1650,1.8517326680012047e-05
1777306480.6734405,1700,7.127234766812762e-06
1777306491.893636,1750,8.174081813194789e-06
1777306502.780877,1800,2.5516405003145337e-05
1777306513.8013766,1850,6.953714182600379e-05
1777306525.044583,1900,9.923822290147655e-06
1777306536.0078886,1950,2.5969764010369545e-06
1777306550.8690588,2000,4.137780342716724e-05
1777306561.839998,2050,2.6090583560289815e-05
1777306572.902356,2100,6.3717102420923766e-06
1777306583.9497285,2150,6.162988938740455e-06
1777306595.079905,2200,4.510425242187921e-06
1777306606.0930755,2250,3.7029610666650115e-06
1777306617.0540621,2300,1.1418792382755782e-05
1777306628.2352571,2350,2.607022543088533e-05
