Wall time,Step,Value
1776945206.7630992,0,-0.23788219690322876
1776945208.5425475,50,-0.5074050426483154
1776945210.2519274,100,-0.2683812975883484
1776945211.8877714,150,-0.4909689426422119
1776945213.5469506,200,-0.21513813734054565
1776945215.1917622,250,-0.5170636177062988
1776945216.8217716,300,-0.2991463541984558
1776945218.5356488,350,-0.5333989858627319
1776945220.1392944,400,-0.2689528465270996
1776945221.7645183,450,-0.46857750415802
1776945224.6623166,500,-0.3378162384033203
1776945226.3302267,550,-0.5588811635971069
1776945227.969814,600,-0.375637948513031
1776945229.60046,650,-0.43281877040863037
1776945231.2524297,700,-0.39034390449523926
1776945232.8994827,750,-0.6045060157775879
1776945234.5341918,800,-0.4044039845466614
1776945236.1993306,850,-0.6148844957351685
1776945237.8954396,900,-0.3371098041534424
1776945239.5373635,950,-0.5404723882675171
1776945242.658055,1000,-0.32552123069763184
1776945244.9893067,1050,-0.24396103620529175
1776945247.2349052,1100,-0.24460488557815552
1776945249.536678,1150,-0.23898518085479736
1776945251.7798562,1200,-0.23717737197875977
1776945254.04822,1250,-0.21432435512542725
1776945256.3429422,1300,-0.24274343252182007
1776945258.6026886,1350,-0.2328023910522461
1776945260.8622189,1400,-0.24301999807357788
1776945263.1246643,1450,-0.269900381565094
1776945266.8567843,1500,-0.26027101278305054
1776945269.140711,1550,-0.22009336948394775
1776945271.3789883,1600,-0.22842347621917725
1776945273.6101534,1650,-0.25461363792419434
1776945275.844167,1700,-0.21763229370117188
1776945278.0375009,1750,-0.274556040763855
1776945280.240272,1800,-0.2338312864303589
1776945282.7429795,1850,-0.2550407648086548
1776945285.2405736,1900,-0.26306700706481934
1776945287.7302995,1950,-0.2750012278556824
1776945291.8841636,2000,-0.2733996510505676
1776945294.3950057,2050,-0.29183346033096313
1776945296.9683266,2100,-0.2889663577079773
1776945299.5130272,2150,-0.26602619886398315
1776945302.083799,2200,-0.3028959631919861
1776945304.7453604,2250,-0.27010971307754517
1776945307.1171823,2300,-0.27779126167297363
1776945309.3890512,2350,-0.24239760637283325
1776945311.6506615,2400,-0.19803720712661743
1776945313.8734846,2450,-0.2617136240005493
1776945317.442083,2500,-0.30733126401901245
1776945319.7126381,2550,-0.29819560050964355
1776945322.0344033,2600,-0.2268107533454895
1776945324.2870643,2650,-0.28514814376831055
1776945326.459873,2700,-0.3378048539161682
1776945328.7414582,2750,-0.2273118495941162
1776945331.0333617,2800,-0.2327215075492859
1776945333.2789595,2850,-0.20158010721206665
1776945335.5272963,2900,-0.25861233472824097
1776945337.87927,2950,-0.2609844207763672
1776945341.6788576,3000,-0.20915132761001587
1776945343.8713958,3050,-0.27014094591140747
1776945346.0700295,3100,-0.2401561737060547
1776945348.2761898,3150,-0.2189660668373108
1776945350.490301,3200,-0.23680126667022705
1776945352.7042298,3250,-0.3221060633659363
1776945354.894636,3300,-0.23033571243286133
1776945357.1062903,3350,0.14020228385925293
1776945359.313038,3400,-0.29861485958099365
1776945361.529258,3450,-0.22994375228881836
1776945364.985243,3500,-0.03326338529586792
1776945367.1996703,3550,-0.24938368797302246
1776945369.3913765,3600,-0.2194083333015442
1776945371.6153479,3650,-0.37255483865737915
1776945373.8458107,3700,-0.393047034740448
1776945376.0509424,3750,-0.46151769161224365
1776945378.24478,3800,-0.3641536235809326
1776945380.4393487,3850,-0.42320799827575684
1776945382.6487625,3900,-0.1684076189994812
1776945384.8651497,3950,-0.2541014552116394
1776945388.375622,4000,-0.33804041147232056
1776945390.8062923,4050,-0.25764596462249756
1776945393.0174725,4100,-0.25206077098846436
1776945395.2103314,4150,-0.255180299282074
1776945397.381863,4200,-0.24171584844589233
1776945399.521314,4250,-0.23865413665771484
1776945401.748097,4300,-0.2552090883255005
1776945403.9865334,4350,-0.22822552919387817
1776945406.1776466,4400,-0.33027827739715576
1776945408.324607,4450,-0.24057328701019287
1776945411.7528348,4500,-0.24845141172409058
1776945413.9268937,4550,-0.2461099624633789
1776945416.0918784,4600,-0.3381704092025757
1776945418.250474,4650,-0.2528514266014099
1776945420.4084258,4700,-0.24445730447769165
1776945422.6001527,4750,-0.26463305950164795
1776945424.7497969,4800,-0.2691795229911804
1776945426.9478524,4850,-0.33728712797164917
1776945429.156233,4900,-0.30438512563705444
1776945431.4142346,4950,-0.16352760791778564
1776945435.4369955,5000,-0.33565324544906616
1776945437.7441905,5050,-0.3023681640625
1776945439.9455936,5100,-0.16612011194229126
1776945442.1365592,5150,-0.22052133083343506
1776945444.3532503,5200,-0.13014870882034302
1776945446.5547655,5250,-0.23918581008911133
1776945448.7475562,5300,-0.37852901220321655
1776945450.9492147,5350,-0.24370801448822021
1776945453.155767,5400,-0.17389512062072754
1776945455.3725765,5450,-0.2226993441581726
1776945459.3603175,5500,-0.040683627128601074
1776945461.5927706,5550,-0.2771797776222229
1776945463.800498,5600,-0.2608751058578491
1776945466.015794,5650,-0.3907778263092041
1776945468.2143872,5700,-0.3194125294685364
1776945470.4120805,5750,-0.6069180965423584
1776945472.5853744,5800,-0.4078914523124695
1776945474.7804182,5850,-0.49037784337997437
1776945476.9946253,5900,-0.4536007046699524
1776945479.161865,5950,-0.3527871370315552
1776945482.6054492,6000,-0.27918100357055664
1776945485.3421187,6050,-0.24458098411560059
1776945487.7928917,6100,-0.19038182497024536
1776945490.5479195,6150,-0.35948437452316284
1776945493.0232644,6200,-0.25696223974227905
1776945495.7350192,6250,-0.08865678310394287
1776945498.4689753,6300,-0.32811808586120605
1776945501.0386372,6350,-0.2549992799758911
1776945503.3216946,6400,-0.24454522132873535
1776945505.5331874,6450,-0.2771875262260437
1776945509.2194638,6500,-0.08279705047607422
1776945511.412365,6550,-0.24591368436813354
1776945513.569619,6600,-0.2206760048866272
1776945515.768314,6650,-0.01525568962097168
1776945518.3517978,6700,-0.21293026208877563
1776945520.9215505,6750,-0.46652013063430786
1776945523.3650308,6800,-0.3913140892982483
1776945525.593619,6850,-0.5266566276550293
1776945527.7720373,6900,-0.11018526554107666
1776945530.4852617,6950,-0.3667370676994324
1776945534.189673,7000,-0.5033423900604248
1776945536.585318,7050,-0.14901655912399292
1776945538.9385433,7100,-0.5049067139625549
1776945541.4852734,7150,-0.09656763076782227
1776945544.090886,7200,-0.5121521949768066
1776945546.4442775,7250,-0.6357214450836182
1776945548.9641194,7300,-0.6043707132339478
1776945552.242751,7350,-0.4201089143753052
1776945555.327033,7400,-0.6220707893371582
1776945558.2841225,7450,-0.7380253076553345
1776945563.1058676,7500,-0.5804176330566406
1776945566.391241,7550,-0.464155912399292
1776945569.8143973,7600,-0.6199132204055786
1776945573.2101142,7650,-0.6573627591133118
1776945576.7529123,7700,-0.5617096424102783
1776945580.105252,7750,-0.5688290596008301
1776945583.4402251,7800,-0.6830890774726868
1776945586.9769883,7850,-0.683085560798645
1776945590.3716462,7900,-0.4859601855278015
1776945593.670957,7950,-0.7348573207855225
1776945598.3683345,8000,-0.5894467830657959
1776945601.8658643,8050,-0.572912871837616
1776945605.298238,8100,-0.7354173064231873
1776945608.6395755,8150,-0.5379794836044312
1776945611.7602892,8200,-0.6520371437072754
1776945615.27644,8250,-0.6318628191947937
1776945618.8482146,8300,-0.505447268486023
1776945622.270523,8350,-0.5328770279884338
1776945625.585033,8400,-0.5297274589538574
1776945628.9143806,8450,-0.5946202278137207
1776945634.1038575,8500,-0.17188382148742676
1776945637.382693,8550,-0.1856023669242859
1776945640.8432174,8600,-0.2203635573387146
1776945644.2051883,8650,-0.35604363679885864
1776945647.5511858,8700,-0.05382412672042847
1776945650.9831417,8750,-0.39196985960006714
1776945654.4391353,8800,-0.6198934316635132
1776945657.7413146,8850,-0.42334139347076416
1776945661.0550659,8900,-0.378781259059906
1776945664.4479637,8950,-0.6683769226074219
1776945669.0502522,9000,-0.637856125831604
1776945672.406777,9050,-0.6661586761474609
1776945675.659493,9100,-0.4928928017616272
1776945679.051185,9150,-0.41294729709625244
1776945682.3451278,9200,-0.5810180902481079
1776945685.6468766,9250,-0.6809087991714478
1776945688.9907897,9300,-0.6082364320755005
1776945692.5135417,9350,-0.6406698226928711
1776945695.694226,9400,-0.43666672706604004
1776945699.0865567,9450,-0.5715610384941101
1776945704.1083498,9500,-0.671352744102478
1776945707.4813728,9550,-0.6574984788894653
1776945710.9524946,9600,-0.6210061311721802
1776945714.4503407,9650,-0.6152158379554749
1776945717.9432218,9700,-0.8019629716873169
1776945721.324152,9750,-0.6745873689651489
1776945724.643958,9800,-0.4582570195198059
1776945727.9886327,9850,-0.4622652530670166
1776945731.3747287,9900,-0.6563383936882019
1776945734.9218657,9950,-0.5178297758102417
1776945739.7512097,10000,-0.4978588819503784
1776945743.1630177,10050,-0.6205735206604004
1776945746.6370156,10100,-0.7423241138458252
1776945749.9610322,10150,-0.6283401250839233
1776945753.310855,10200,-0.5939360857009888
1776945756.7785008,10250,-0.6113686561584473
1776945760.2015717,10300,-0.43556612730026245
1776945763.7069147,10350,-0.5000619292259216
1776945767.1679862,10400,-0.6232402324676514
1776945770.680903,10450,-0.4657835364341736
1776945775.4405668,10500,-0.6932011842727661
1776945778.8904233,10550,-0.625184178352356
1776945782.312167,10600,-0.5035715103149414
1776945785.6016467,10650,-0.5759870409965515
1776945788.924116,10700,-0.5249257683753967
1776945792.1429844,10750,-0.6205865740776062
1776945795.2472265,10800,-0.4933345317840576
1776945798.5844214,10850,-0.6558971405029297
1776945801.9563925,10900,-0.7159177660942078
1776945805.3311102,10950,-0.3438846468925476
1776945810.1783378,11000,-0.4907430410385132
1776945813.6060982,11050,-0.5803422927856445
1776945817.134897,11100,-0.6211270093917847
1776945820.503235,11150,-0.7345421314239502
1776945823.957722,11200,-0.6967695355415344
1776945827.274041,11250,-0.7948271036148071
1776945830.554413,11300,-0.6222500801086426
1776945833.9817088,11350,-0.42807626724243164
1776945837.1610491,11400,-0.5944029092788696
1776945840.4355638,11450,-0.26283395290374756
1776945845.2277384,11500,-0.330072820186615
1776945848.5331728,11550,-0.3667278289794922
1776945852.0151594,11600,-0.39309000968933105
1776945855.4628258,11650,-0.32649099826812744
1776945858.9461024,11700,0.010758638381958008
1776945862.5123816,11750,-0.5757553577423096
1776945866.039889,11800,-0.6550254821777344
1776945869.4844708,11850,-0.5498288869857788
1776945872.9730575,11900,-0.4430820345878601
1776945876.4755979,11950,-0.7396165728569031
1776945880.764771,12000,-0.6971634030342102
1776945883.0250914,12050,-0.7435082793235779
1776945885.2731764,12100,-0.5826776027679443
1776945887.559354,12150,-0.69376140832901
1776945889.790289,12200,-0.6050635576248169
1776945891.9970074,12250,-0.5509929656982422
1776945894.19704,12300,-0.5214698314666748
1776945896.3860676,12350,-0.8097237348556519
1776945898.661143,12400,-0.45221030712127686
