CViT,DeepONet,FNO
0.04197143,0.6608216,0.103740506
0.03656214,0.5659945,0.07525797
0.051447667,0.62287897,0.09378308
0.040095,0.5888684,0.078696504
0.03571717,0.6165732,0.08749722
0.040775858,0.6155828,0.100538425
0.051440816,0.6545281,0.103344075
0.03901568,0.58865255,0.0800093
0.04656447,0.62591755,0.09138715
0.038401127,0.59324455,0.08088644
0.038492404,0.6295448,0.09062129
0.03516948,0.5695355,0.07673524
0.038423173,0.6349849,0.0957025
0.05235414,0.64335126,0.10227209
0.035776056,0.55587006,0.07506505
0.03615897,0.57006705,0.07707968
0.04096297,0.62763774,0.09408145
0.035208017,0.6237564,0.09122505
0.04617266,0.579072,0.091253005
0.043329593,0.6554972,0.10543995
0.042017993,0.6166946,0.08842909
0.044725757,0.61625266,0.10281243
0.037677575,0.5823837,0.076400116
0.041378513,0.60496897,0.08700411
0.04607023,0.6006434,0.08893466
0.039041013,0.5665347,0.082433574
0.05908517,0.63247037,0.102274105
0.04644984,0.6773032,0.10869783
0.055046827,0.61730474,0.09619993
0.039439745,0.6163388,0.093393385
0.050252542,0.6366514,0.09889623
0.042632163,0.62077105,0.09455573
0.054058075,0.62840885,0.10776483
0.03845436,0.54625094,0.06863589
0.040281944,0.6083266,0.0932351
0.048555933,0.6568493,0.10237687
0.046602007,0.62092125,0.10051431
0.049832433,0.6677937,0.10802263
0.04675673,0.6078398,0.090630636
0.038287252,0.6252011,0.08938873
0.044230603,0.6125171,0.094693206
0.051618487,0.61192155,0.099050015
0.046288203,0.60914314,0.09786593
0.043276176,0.61643124,0.094594106
0.042133775,0.6211033,0.08747299
0.034126826,0.5644952,0.07617757
0.031787455,0.571793,0.076817706
0.05044446,0.62102,0.09776401
0.043986015,0.6071226,0.095477544
0.050299175,0.58637106,0.08481505
0.041711926,0.6006373,0.08339469
0.043647155,0.6206436,0.096394986
0.044059746,0.60767853,0.09249063
0.045971762,0.62530124,0.10287964
0.05421038,0.6208574,0.0976214
0.040232345,0.55806327,0.07433122
0.06402609,0.6800302,0.12527166
0.047694694,0.6096179,0.09018415
0.04475599,0.62322915,0.09164759
0.041975256,0.62262565,0.09541312
0.040855642,0.5995406,0.09341814
0.036265798,0.5961691,0.08545385
0.041698094,0.5860156,0.08772062
0.048223466,0.57996213,0.088150635
0.030258097,0.5621742,0.07655485
0.050437972,0.5695415,0.085057855
0.03498826,0.57338583,0.07594727
0.04486575,0.5535101,0.08367499
0.036851097,0.59814584,0.08478828
0.04027411,0.6307101,0.092191696
0.04114853,0.620396,0.08988063
0.03292405,0.5941853,0.08091972
0.04532919,0.6168809,0.09632802
0.03192119,0.5495821,0.074091494
0.040509164,0.6113728,0.0898222
0.038801406,0.5788858,0.0788839
0.041289117,0.60516185,0.09293471
0.04969155,0.5927348,0.08909711
0.053742647,0.6135241,0.091505796
0.04085432,0.60061896,0.08542207
0.038881846,0.56682336,0.077741854
0.042492103,0.5782197,0.08244638
0.039032366,0.5841262,0.08518511
0.037254266,0.633724,0.0944108
0.04113008,0.62373054,0.094836384
0.04253584,0.61407,0.096399605
0.049465246,0.6351088,0.10173657
0.04021662,0.59756863,0.08034617
0.042906605,0.626294,0.0957212
0.042661827,0.5695939,0.0768106
0.04307729,0.61923164,0.09521718
0.03370851,0.6015049,0.08369058
0.04015089,0.59176767,0.082190394
0.040922172,0.5829899,0.09107858
0.042391803,0.5686731,0.08113148
0.04475528,0.61646456,0.09564917
0.051539104,0.59094334,0.0911405
0.034517527,0.5900061,0.081936084
0.038116153,0.5897127,0.0752504
0.041230462,0.66461253,0.10362127
