CViT,DeepONet,FNO
0.01702152,0.09367311,0.12603556
0.030071795,0.1252292,0.21356627
0.020133713,0.10408366,0.18275185
0.019554636,0.106238015,0.12938987
0.020162672,0.11736025,0.18553722
0.027564177,0.15612252,0.19153613
0.02085443,0.1010819,0.1695876
0.030325871,0.15028548,0.1930805
0.028841218,0.118274875,0.16731648
0.025678428,0.12201952,0.18642937
0.02961656,0.11849672,0.22612746
0.024412462,0.13537905,0.18797864
0.023623219,0.11457966,0.18164615
0.01734472,0.11995797,0.22953388
0.03078931,0.15805808,0.18585537
0.021589285,0.09886367,0.18448922
0.022952896,0.11944585,0.20144008
0.02426816,0.14849928,0.23200697
0.030297715,0.13021593,0.1985165
0.024574058,0.12535156,0.18853803
0.026067767,0.10428501,0.1900018
0.019890672,0.1022962,0.18710923
0.028152715,0.1260567,0.20549114
0.018605428,0.095175125,0.18832201
0.02435748,0.12902208,0.19655144
0.029911067,0.13040549,0.20001721
0.020889686,0.121071585,0.18521392
0.021789137,0.10068074,0.22505508
0.035995133,0.12009608,0.21559642
0.020808667,0.12422319,0.16896404
0.034057796,0.12168697,0.19344608
0.02255507,0.099016026,0.1687243
0.023179019,0.12806806,0.17922835
0.02479704,0.11628851,0.201239
0.030312425,0.11926868,0.19403976
0.033828393,0.11324285,0.1976244
0.027907768,0.13657367,0.21844266
0.02162922,0.13352732,0.19116658
0.027890846,0.13835397,0.18036273
0.028772736,0.15261853,0.19050512
0.02028479,0.101895176,0.16054367
0.032182187,0.10791768,0.18635027
0.024559831,0.09469767,0.18396045
0.024114951,0.12090762,0.16656545
0.023668123,0.1170808,0.1813092
0.021108437,0.10159471,0.21909565
0.020049002,0.103447236,0.15347637
0.021025173,0.09693435,0.1752574
0.022395771,0.122072875,0.18767612
0.0206676,0.09194984,0.16551432
0.02469644,0.120716885,0.19679484
0.022222184,0.11599987,0.14930363
0.024836427,0.16180035,0.22258472
0.031033361,0.13740729,0.19389339
0.019236233,0.08700414,0.16306509
0.033113617,0.12278159,0.18969254
0.02714825,0.14047055,0.19381623
0.027213225,0.12324163,0.21545872
0.028811106,0.14143041,0.19313951
0.026693653,0.118592836,0.17230597
0.033654574,0.12238575,0.22058377
0.023626491,0.12138031,0.21759595
0.019609177,0.1303154,0.17201546
0.023292843,0.091040514,0.2017298
0.024759287,0.13525638,0.20226587
0.021751385,0.091186255,0.18452151
0.022128774,0.10674442,0.1889938
0.02512558,0.13531978,0.18227279
0.025405303,0.110548735,0.20286551
0.02426821,0.11146011,0.17936245
0.01728987,0.08825949,0.18035877
0.025175404,0.12118889,0.17919175
0.028397504,0.14966933,0.24905513
0.02122989,0.1378805,0.16007431
0.025272623,0.13345923,0.16726579
0.023004672,0.12732601,0.21496932
0.018886693,0.091259725,0.16117874
0.020510362,0.115003966,0.2540756
0.01953896,0.095712125,0.19786584
0.03259269,0.15110254,0.19011769
0.03205255,0.13295543,0.1901281
0.036805797,0.1503099,0.21704562
0.030684657,0.120241635,0.18701786
0.02142501,0.118653685,0.18845853
0.018137274,0.08976687,0.1883317
0.024951778,0.124811046,0.24555501
0.023044948,0.0994928,0.1655304
0.023935188,0.1281837,0.2061892
0.019471744,0.096441194,0.1603686
0.024388473,0.12985876,0.19511963
0.018235952,0.09785753,0.14936034
0.029338686,0.14962134,0.20452668
0.023473052,0.10481132,0.17854121
0.019034743,0.10166943,0.16621932
0.020616865,0.10186284,0.19402269
0.022916008,0.109233744,0.16094522
0.017423106,0.08243018,0.19288172
0.022072576,0.13511607,0.18053617
0.024453452,0.1369499,0.20050831
0.023731966,0.121574864,0.23273204
